Id_comuna;Id_comisaria;Nombre_comisaria;Direccion;Fono;Tipo;;;;;
5405;217;RETEN ZAPALLAR;BENITO DEL BILLAR N 124;332433034;RETEN;;;;;
5405;218;RETEN CACHAGUA;CACHAGUA N 424;332433038;RETEN;;;;;
5405;219;RETEN CATAPILCO;BALMACEDA N 123;332433033;RETEN;;;;;
5501;220;4A. COMISARiA QUILLOTA;CHACABUCO N 481;332433064;COMISARIA;;;;;
5501;221;RETEN LAS CRUZADAS;AVENIDA DUEAS N 110 SAN PEDRO;332433088;RETEN;;;;;
5502;222;7A. COMISARiA DE LA CALERA;CALLE JOSE JOAQUIN PEREZ N 598;3324333090;COMISARIA;;;;;
5504;223;TENENCIA LA CRUZ;AVENIDA 21 DE MAYO N 2040;332433086;TENENCIA;;;;;
5506;224;RETEN EL MELON;BERNARDO OHIGGINS N 24;332433123;RETEN;;;;;
5506;225;TENENCIA NOGALES;PEDRO FeLIX VICUA N 611;332433116;TENENCIA;;;;;
5601;226;1A. COMISARiA DE SAN ANTONIO;LA MARINA N 1985;352535038;COMISARIA;;;;;
5601;227;SUBCOMISARiA LLO LLEO;MeXICO N 275;352535056;SUBCOMISARIA;;;;;
5601;228;RETEN CUNCUMEN (M.C.);RUTA G800 KILoMETRO 14;352535063;RETEN;;;;;
5602;229;3A. COMISARiA ALGARROBO;CALLE CARABINEROS DE CHILE N 86;352535096;COMISARIA;;;;;
5603;230;2A. COMISARiA DE CARTAGENA;AV. CARTAGENA N 755;352535073;COMISARIA;;;;;
5604;231;SUBCOMISARiA EL QUISCO;ISIDORO DUBORNAIS N 270;352535130;SUBCOMISARIA;;;;;
5605;232;TENENCIA EL TABO;CENTENARIO S/N;352535092;TENENCIA;;;;;
5605;233;RETEN LAS CRUCES;JOSE CLAVIJO VERA S/N;352535093;RETEN;;;;;
5606;234;SUBCOMISARiA DE ROCAS SANTO DOMINGO;AVENIDA DEL LITORAL N 335;352535065;SUBCOMISARIA;;;;;
5701;235;2A. COMISARiA DE SAN FELIPE;AVENIDA OHIGGINS N 200;342334040;COMISARIA;;;;;
5701;236;RETEN CURIMON;SANTIAGO BUERAS S/N, KM 35 RUTA 60CH;342334063;RETEN;;;;;
5701;237;SUBCOM I.A.T Y CARRETERA SAN FELIPE;RUTA 5 NORTE KM 84,500;332334120;SUBCOMISARIA;;;;;
5702;238;TENENCIA CATEMU;ARTURO PRAT N 91;342334072;TENENCIA;;;;;
5702;239;RETEN HIJUELAS;CUARTEL N 32;3324333126;RETEN;;;;;
5702;240;TENENCIA CARRETERA HIJUELAS;RUTA 5 NORTE KM 106.9;332433119;TENENCIA;;;;;
5703;241;SUBCOMISARiA LLAY LLAY;SAN FRANCISCO N 97;342334056;SUBCOMISARIA;;;;;
5704;242;SUBCOMISARIA I.A.T. Y CARRETERAS SAN FELIPE;RUTA 5 NORTE KM 84;342334120;SUBCOMISARIA;;;;;
5704;243;RETEN PANQUEHUE;TRONCAL S/N KM 18, RUTA 60CH;342334077;RETEN;;;;;
5705;244;RETEN LOS PATOS (F);RUTA E525, K/M. 18;342334069;RETEN;;;;;
5705;245;RETEN GUZMANES;CALLE NUEVA S/N;342334067;RETEN;;;;;
5705;246;TENENCIA PUTAENDO;SAN MARTIN N 796;342334065;TENENCIA;;;;;
5705;247;RETEN QUEBRADA HERRERA;CALLE BRUNA ESQUINA CALLE ORTIZ;342334070;RETEN;;;;;
